"location","latitude","longitude","Start","End","DOY","Year","Month","Day","Date","DL","PP","Rad","SWE","Tmax","Tmin","VPD","Tmean","ET0_HS","EPE_i","ETE_i","DT","TT"
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,267,2022,9,24,2022-09-24,11.8206722222222,3.66,11.749275362,0,17.06,3.38,0.77821,10.22,2.52738510623747,0,0,13.68,5.22
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,268,2022,9,25,2022-09-25,11.7694361111111,6.81,8.7718548891,0,17.62,8.42,1.10339,13.02,2.2565340649084,0,0,9.2,8.02
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,269,2022,9,26,2022-09-26,11.7182333333333,5.83,4.8990183732,0,13.6,8.92,1.14151,11.26,1.50198825477824,0,0,4.68,6.26
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,270,2022,9,27,2022-09-27,11.667075,3.79,5.560994628,0,14.84,9.52,1.18881,12.18,1.63510982509122,0,0,5.32,7.18
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,271,2022,9,28,2022-09-28,11.6159666666667,0,7.382876094,0,13.27,8.08,1.0778,10.675,1.51809349274594,0,0,5.19,5.675
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,272,2022,9,29,2022-09-29,11.5649166666667,0,13.918562247,0,15.51,3.93,0.80874,9.72,2.16883704399331,0,0,11.58,4.72
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,273,2022,9,30,2022-09-30,11.5139361111111,0,15.746919583,0,18,2.55,0.7336,10.275,2.52908940878761,0,0,15.45,5.275
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,274,2022,10,1,2022-10-01,11.4630305555556,0,14.4425931618,0,18.68,5.36,0.8942,12.02,2.46819888936146,0,0,13.32,7.02
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,275,2022,10,2,2022-10-02,11.4122111111111,0,13.243414506,0,15.16,3.87,0.80533,9.515,2.05965509426419,0,0,11.29,4.515
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,276,2022,10,3,2022-10-03,11.3614805555556,0,15.7625545554,0,16.24,-0.43,0.5917,7.905,2.33047700490673,0,0,16.67,2.905
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,277,2022,10,4,2022-10-04,11.3108555555556,0,15.805110902,0,19.72,0.99,0.64856,10.355,2.67722941052459,0,0,18.73,5.355
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,278,2022,10,5,2022-10-05,11.2603361111111,0,15.367656311,0,23.18,3.99,0.79218,13.585,2.98890926768726,0,0,19.19,8.585
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,279,2022,10,6,2022-10-06,11.2099388888889,0,13.0966612834,0,22.04,8.17,1.0848,15.105,2.63594855674376,0,0,13.87,10.105
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,280,2022,10,7,2022-10-07,11.1596694444444,0,10.2799303828,0,12.53,3.35,0.77677,7.94,1.6597539725385,0,0,9.18,2.94
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,281,2022,10,8,2022-10-08,11.1095388888889,0,11.8159278096,0,10.61,-0.41,0.59282,5.1,1.60070791826636,0,0,11.02,0.0999999999999996
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,282,2022,10,9,2022-10-09,11.0595527777778,0,12.3727198364,0,14.24,1.99,0.70471,8.115,1.88961638439417,0,0,12.25,3.115
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,283,2022,10,10,2022-10-10,11.009725,0,12.3926785767,0,14.41,1.89,0.7001,8.15,1.89260836634473,0,0,12.52,3.15
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,284,2022,10,11,2022-10-11,10.9600638888889,0,14.5581651831,0,22.08,1.05,0.65692,11.565,2.7462348548563,0,0,21.03,6.565
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,285,2022,10,12,2022-10-12,10.9105805555556,13.52,7.4373063415,0,19.22,9.06,1.15206,14.14,2.05417903089491,0,0,10.16,9.14
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,286,2022,10,13,2022-10-13,10.8612833333333,3.01,5.935474116,0,13.76,6.25,0.9507,10.005,1.52114748657429,0,0,7.51,5.005
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,287,2022,10,14,2022-10-14,10.8121833333333,2.64,8.1385898874,0,12.5,1.3,0.67073,6.9,1.63271943997042,0,0,11.2,1.9
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,288,2022,10,15,2022-10-15,10.7632916666667,2.37,5.9946798735,0,10.59,3.06,0.76086,6.825,1.32057624297935,0,0,7.53,1.825
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,289,2022,10,16,2022-10-16,10.7146222222222,0,9.4479824416,0,12.6,3.29,0.77348,7.945,1.51897447349152,0,0,9.31,2.945
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,290,2022,10,17,2022-10-17,10.6661805555556,1.46,5.149205325,0,7.47,2.94,0.75431,5.205,0.936823420763022,0,0,4.53,0.205
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,291,2022,10,18,2022-10-18,10.6179861111111,3.71,3.33778517,0,4.84,1.02,0.65739,2.93,0.767067509226074,0,0,3.82,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,292,2022,10,19,2022-10-19,10.5700416666667,3.09,4.539621495,0,6.4,1.01,0.65703,3.705,0.93533473506367,0,0,5.39,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,293,2022,10,20,2022-10-20,10.5223666666667,1.14,5.2070562792,0,4.34,-0.17,0.60311,2.085,0.782877946753462,0,0,4.51,0
