block,genotype,id,location,sd,hd,heading,heading_jd,maturity,gfp,yield,tstwt,tkw,hght,soil,asparagine,glutamine,glycine,Lysine,proline,protein,moisture
1,g1,OAC Constellation,ea,9/24/2022,7/31/2023,6/4/2023,155,195,40,9.95,74.59,32.6,85,loam,504.1817,45.3986,20.8924,52.2975,26.7901,10.00817,11.29
2,g1,OAC Constellation,ea,9/24/2022,7/31/2023,6/4/2023,155,195,40,9.72,73.09,32.6,86,loam,485.629,45.4735,19.2329,51.03,25.829,9.774967,11.04
3,g1,OAC Constellation,ea,9/24/2022,7/31/2023,6/5/2023,156,195,39,9.06,74.34,32.6,86,loam,465.5753,41.6947,20.9602,51.9795,24.8163,9.172533,11.44
4,g1,OAC Constellation,ea,9/24/2022,7/31/2023,6/5/2023,156,195,39,10.09,73.81,32.6,84,loam,486.5103,49.2444,20.8273,50.9392,26.6037,9.7944,11.06
1,g2,OAC Virgo,ea,9/24/2022,7/31/2023,6/4/2023,155,198,43,9.66,73.78,33.8,92,loam,516.2073648,59.06119101,27.91774251,39.94081062,29.34331438,8.958767,11.23
2,g2,OAC Virgo,ea,9/24/2022,7/31/2023,6/5/2023,156,198,42,10.19,74.65,33.8,94,loam,554.3918363,51.60959701,33.66255044,31.26110563,28.09281589,8.9782,11.32
3,g2,OAC Virgo,ea,9/24/2022,7/31/2023,6/6/2023,157,198,41,9.58,73.53,33.8,94,loam,540.6523869,53.45489103,34.87281226,38.16300904,28.80615782,8.647833,10.92
4,g2,OAC Virgo,ea,9/24/2022,7/31/2023,6/5/2023,156,198,42,9.72,73.94,33.8,90,loam,634.7189191,65.90394744,33.2688633,46.86173979,32.46870418,9.464033,10.89
1,g3,OAC Moon,ea,9/24/2022,7/31/2023,6/4/2023,154,195,41,8.69,72.27,26.4,84,loam,445.7068126,66.07279487,26.05763772,10,32.18299648,10.06647,11.66
2,g3,OAC Moon,ea,9/24/2022,7/31/2023,6/4/2023,154,195,41,8.5,71.47,26.4,81,loam,399.4029053,54.69997276,27.68545433,10,31.23575722,9.133667,11.4
3,g3,OAC Moon,ea,9/24/2022,7/31/2023,6/4/2023,154,198,44,9.49,71.81,26.4,84,loam,450.5566851,71.37281987,30.88304291,10,34.82764875,10.29967,11.49
4,g3,OAC Moon,ea,9/24/2022,7/31/2023,6/4/2023,156,198,42,9.26,70.85,26.4,86,loam,451.8715131,79.78803798,29.92116343,10,35.82117828,10.6689,11.62
1,g1,OAC Constellation,pn,10/2/2022,7/31/2023,6/4/2023,156,190,34,6.65,74.53,38.29,77.29,harriston_silt_loam,760.2412,73.5996,29.1569,58.8974,43.156,11.79603,11.13
2,g1,OAC Constellation,pn,10/2/2022,7/31/2023,6/4/2023,156,190,34,6.79,74.91,39.95,82.25,harriston_silt_loam,771.3122,57.8272,24.6259,48.4459,38.9056,11.58227,11.4
3,g1,OAC Constellation,pn,10/2/2022,7/31/2023,6/4/2023,156,190,34,7.61,76.68,43.04,82.14,harriston_silt_loam,690.6163,56.0644,21.9035,52.566,38.4625,11.1353,11.23
4,g1,OAC Constellation,pn,10/2/2022,7/31/2023,6/4/2023,156,190,34,7.48,77.22,41.9,84.25,harriston_silt_loam,669.0843,54.0342,24.378,44.6741,39.1026,12.39847,11.75
1,g2,OAC Virgo,pn,10/2/2022,7/31/2023,6/4/2023,155,191,36,6.77,76.4,43.8,76,harriston_silt_loam,1014.109076,116.9704428,42.94968071,35.56548956,53.15679167,12.1847,11.08
2,g2,OAC Virgo,pn,10/2/2022,7/31/2023,6/4/2023,156,192,36,8.12,77.5,42.35,84.79,harriston_silt_loam,862.0078529,86.00429625,42.09174269,47.23332578,46.31674832,12.51507,11.08
